RowNumber,id,sobrenome,pontuacao_credito,estado_residencia,genero,idade,nivel_estabilidade,saldo_conta,numero_produtos,possui_cartao_de_credito,membro_ativo
1850,4ffc53b179c45579933833752b53396ca3cde1b3,cb9097bf09dde960ea25124e9c3a96d5fc108ffd,581,RS,F,29,8,0.0,2,1,0
1851,f324c2ebbab781f1544f6d5fa1bc683d3333ac25,18b540adb328628a155dc332cc2db2582054d83c,785,PR,F,33,5,136624.6,2,1,1
1852,9eaa6a6d96cc6306d66d8efeb12304adc71b036b,50f5d80332fc3e6abd5275decbb90d6a9a2e258d,799,SC,F,52,4,161209.66,1,1,1
1853,5771c69eae3feb1b7bc7b64b7f3efc9f59dc9d55,884cecd91d522edfbf85c255c0428127d05437d6,698,RS,M,38,10,95010.92,1,1,1
1854,e07250362ad31bdae38a44d9d7c28e2133702ccf,9f919261c6ed85975f6a5e903b48f564d3b0a40b,730,SC,F,41,4,167545.32,1,1,0
1855,663430fd892c8f92ac62424494e0e3700ca8706c,842781a4c471b67df8c72b8924a2ef77f57a7a9b,740,PR,F,36,4,109044.6,1,0,0
1856,23b006758ead6309d5238f190f64ca811543315c,971591a50f240650b15c22741ef115878ed489ba,785,SC,F,47,9,122031.55,1,1,1
1857,aa9a32a328915ac00eff0f411ea775ab044ce4c8,e64aa8a2295c1f15a3e255cea99bccbba8cfa34b,527,RS,F,29,2,27755.97,1,1,0
1858,3c2e7fab6c4587c54bd859a6c3b2c3728aa5a3e9,93bace7ba242e9b61f3c36bcd37275a86ac952ba,544,SC,F,29,1,118560.55,1,1,1
1859,7471f5540737b7116cc4d7fdd857948fde58b82c,2af1ed8d71c5769645dc0d2b3d71f45b0fad9da5,705,SC,M,61,4,0.0,2,1,1
1860,b6b98380660dbf130db369eae4032471943265ae,39a581a4659cc189802f61cbb47d25b51798ad86,684,SC,M,34,9,0.0,2,1,1
1861,be874e61522e2ba768b5e6bda62f4cf53a65ad56,b3f24a93c297f338ee2dc12522c4d84f2c768a2d,639,RS,F,28,8,97840.72,1,1,1
1862,39cacbeb55b03cd63454ad5f5b86721e17585804,08cca4d78d57be5c1218242a6f3860aa1269abf7,565,PR,F,38,2,158651.29,2,1,1
1863,0de8fba87f272440f1ba3dad91b02e0740c1b2af,048e46bd3d06d0075d9450f30a9e7ace35a3da18,481,SC,M,44,9,175303.06,1,1,0
1864,0d1bd9e1048e9051bf4110709fcd04983e90d069,8c9da9261f9d8a66d9bda9c46ccbc08032cdfa81,731,RS,M,25,8,96950.21,1,1,0
1865,1a691e49d470243fda57828e78b88f2795a677ee,4474eed7f98e2945bc22343449903c182ad443e1,607,SC,M,45,7,123859.6,1,0,1
1866,f06b04b42609392cf13e318cb6718b62b9b0c755,051e56681a6282bb0ad3cd11837891397cde76b3,760,SC,F,32,7,0.0,2,1,1
1867,ea93949fb6db16b4e610497d2d75d1ee5fe52725,a55390ff080ce4b25c10ea2dd48cf1283cd8d509,559,SC,F,70,9,0.0,1,1,1
1868,3ca8fe82d8c96b9598a337b2bdde38b6f30d331f,c99b0b69bec1d5c3c5cc54d98a9a756bed5300ec,715,SC,F,33,3,85227.84,1,1,1
1869,33665a4ff722c6baa37e4bc0afb3976d051db428,f52bb207c146450b4086da4423b3a6d0052629ee,656,SC,M,36,8,97786.08,2,0,1
1870,f59d72e6bff9db5ce0d92dfdca298b531b970895,6798be02f4aa5b2c4d80d23bb7b58b65a0245c23,652,PR,M,33,7,128135.99,1,1,0
1871,84daaba2c9ec3c14f1c98ffafc3716f0aace8d06,cd3829894e6bf6006df4183c09ef357b652cfc72,624,RS,M,33,6,0.0,2,0,0
1872,aad2f54cb080b7d63853ea8837986f6357203dc0,cbebf3984b6d4aa6ce5b5910c4e262b3c6ee6da9,634,RS,M,36,2,85996.19,1,1,0
1873,d4e20b9c7020eea28b938d7d774e75539d655cad,aa7b1ad462552384a65221b543b470264141d234,850,RS,F,50,10,0.0,2,1,1
1874,7cb02152edc23fbf25bf31bad50a1c8e8da222bd,d74ce11fbedcf613c4f632adda935e81752a07e9,659,PR,F,39,1,104502.11,1,1,0
1875,8c6029f7d2585a020a99c9609aa311e327d6430c,a596384ca70664af4c5fac9f935cff186b8e8bc0,529,RS,M,35,5,95772.97,1,1,1
1876,09553ece19027ef4160ad8f52917b9fc81f6a948,1820822308f90a0a29e587ee4e9cb35500745a69,572,RS,M,31,5,98108.79,1,0,1
1877,b613859b5809c20540df3c767c384e9cf0752517,a48f3e7575f308b8257a5bb9880812b11d9823f1,640,PR,M,39,9,131607.28,4,0,1
1878,7066033f69a4209239f0dfc1fdcbd241146f323f,2f490544786f0a93cae6275acd69778aa40eaaf6,770,RS,M,55,9,63127.41,2,1,0
1879,93e64a29ca446e61891042540d321b0fca7f49a5,2ad0c93dcf651c0afe5e5aa7a8778f7c3ec5769e,648,RS,M,35,7,0.0,2,1,1
1880,b88cd394acb6008a6283f46ef8f14721d8bdab7e,543e81dc974b9f9d5739f90e80435675308f4f1f,579,SC,M,31,9,0.0,1,0,1
1881,689d0b2ce552e327868bae16f387a7fa4643ba83,7a4b8be23a94a9079cad51d70fd635f82bf6bcfc,589,PR,F,36,9,140355.56,2,1,0
1882,b096bc007c59e76da981b9fc4c571fe2eae04153,80c9ff7105a2151d4df09d1bbcc808543a889d5f,530,RS,F,36,2,0.0,2,1,1
1883,e7370a6732558d9961d0285ecff66b11470be488,643ba48cc5d467eac1acebe08bac439fce3f1bd6,831,SC,M,30,2,0.0,2,0,1
1884,d91dbae0ed493fd038cc5a9baaf3bd3588e9a1ff,0fdb366973d43a26f41ce3e34fdaac500cac7c5b,790,PR,M,24,7,107418.27,1,0,1
1885,28e8845d972fdcbf12480835bb90d63d5fa922e8,0a05c1c7bb394d7c2883efb155efd56b1aae2ea9,656,SC,M,35,6,0.0,2,1,0
1886,4dd5ce5944d4c3276d19352e4175037fbdb4b001,49b5746bddf0804473bbbad737b96be6ee375f5c,563,RS,M,32,6,0.0,2,1,1
1887,7ea2796f741b013f311db771ddae14f2ae1b7a4f,e3eaaab22c913d3a24625f61861166eb6dbf908b,667,RS,M,39,7,167557.12,1,1,1
1888,107b240b0c239a6495da64b1d541ce3a2b352aa1,dfcd49cc72ad5d68f8f829e6fd24d1e81bb56f53,613,RS,M,34,8,117300.02,1,1,0
1889,4a9dbf6210bea704212e038f2f7661deccc71819,66637f52bdfd18f530b464b38bc5f39b703cf95a,429,SC,M,60,7,0.0,2,1,1
1890,40ca48fd6d421d6f92cf13ebdb4564cfc1431bd1,3a811fb56eefdf84021fdb99e6c419ae79b6574c,665,SC,F,23,9,143672.9,1,1,1
1891,695f296b1b5f206423ee1c033e74c9af0763de9e,d6e6c6d5c365c86b6ca5df17226c11cd9ee28fd1,731,SC,M,33,4,0.0,2,1,1
1892,7620db0d4b18c692772515644ddef8110308ee6a,52addcfbf5a61ae97ea5c4afcf7183a24ea6a7dd,584,SC,F,37,1,0.0,2,1,1
1893,12c466285d0b5fbcfff8d9ce50ef1964be1fb13a,28e01afe39a184b15606a7dd982a336affd4aa04,634,PR,F,31,8,76798.92,1,0,0
1894,a75d38fe156efcdbcd5aeaf90819c52b57eb550d,d9a9e01707f989c8eecf075f52c5bf8a122aa6a9,488,SC,M,34,3,0.0,2,1,1
1895,0bfd9b58bf8c8578d0a0a769eab6549214b95c99,69a25f85f906c9acb078adcfae4032703f4c99c5,535,RS,F,49,7,115309.75,1,1,0
1896,79fc61f1aa6f84f53d50c730fbc8ae344554592c,48f207d0a693392e17497c1c8d67f5509c99999c,776,SC,F,29,7,178171.04,2,1,1
1897,8c33d2c5955189ea5b6c1e1afa27618f7d153d70,e3eaaab22c913d3a24625f61861166eb6dbf908b,850,RS,F,38,3,0.0,2,0,1
1898,912d29ca68fef0e254e524c7bd367840546d80c5,bad6f32c36fa31ecdd9165b83d0bf04dc55d92ec,673,RS,F,37,0,0.0,2,0,0
1899,4de56cd6ee6ad96f3452479588a354ab63ca08b2,ae401dfb3d0019c5181dcf10b6b68ac0775ffde8,850,PR,F,45,5,127258.79,1,1,1
1900,a81a7635b22b4c51e34e718745cd7a019af29d96,b666176ec3fa36d34fcc5bc9fd30790bee56a867,627,RS,F,30,6,0.0,1,1,1
1901,a23008dbd585103ba7620401133186f0a2e0642a,f1e5027896b1350fbba78fa7188e39f6251ea7e8,570,SC,F,33,8,0.0,1,1,1
1902,a156564bba688be410c105b84e74b62c05c9473e,adf9adb6a9689d3a703872963d69b6fa2cc41858,796,RS,M,67,5,0.0,2,0,1
1903,3983594cfc43742cd583838375ee2f18f5f7db74,8ed1a4fb1ed53a739c966780c998b8e69d4f6459,773,RS,F,33,10,0.0,1,1,1
1904,142d22b1706b41e1d900bb4b7fb6f1d186bf0e95,6999b768851b651ac10eb5de883b883d791761f8,752,RS,M,36,2,0.0,2,1,1
1905,b12477c9b3bf89e607dc5cfbb5e27d3eaf40f82f,744943d2425bc781ac16d114c59c536877108250,625,RS,F,69,1,107569.96,1,1,1
1906,5aad8940aabbb69c591e3f9f210ccc9fac04661f,f107c1fa3794c5463c688eef2a8b4d05c2d18580,535,PR,M,20,9,134874.4,1,1,1
1907,c031a49410754c26bafc6fb799dcb0494a28a5e8,531edb6e308ee9dfa30c7829bc5f9ea4278d9f20,786,SC,F,29,4,0.0,2,1,0
1908,a7e299b7d5f5c405c6a9bedd5ac58f23da24839d,905378434ab62d4c27df51ae6377595c47ed8cd4,620,SC,F,67,3,0.0,2,1,1
1909,67c2d245029717037ec12a995c768eb13b4403ca,00ab323673b0db490ebb6fd6ab9146371661f5b1,605,RS,F,48,6,0.0,2,1,1
1910,76fe4183b8efc0f4c6d713d2a60f25490aab8bd4,8603e3dccda4eee65fe13a691bde8bae1c1152b5,670,RS,F,32,3,0.0,2,1,0
1911,2c12ab7499d988e0f195ebac798ceecd27a8c5df,ec553fde1f0cba42abf3110e313c658f69a150fc,617,RS,M,42,0,70105.87,1,1,1
1912,4ddcffc2370398e229fa925c3fce79f6906e8306,4f80b1c69a4683e201ea6265462a909e11d6b167,595,SC,M,41,9,0.0,2,1,0
1913,1689607ebcb8843a38d8fdf3b8b5a8415035d408,5b51a9fa31b8cd945def90d32a1fddfc95b9155a,687,PR,F,29,4,78939.15,1,1,0
1914,c0a7df76274a336a59845f55c22690183abfa54f,a21d7d140c921c5e7020d9dff0a38d1622bb2916,757,PR,M,30,6,105128.85,2,1,1
1915,132347ee4088ec51a9288ac299d9a125a5aea921,3c0a161e34b975f1227b037beeada8acc812e1f6,746,RS,M,31,2,113836.27,1,1,1
1916,b56bf985aa2f7c9f1200c8d72ffca56a0391c714,5c043f74815fb14790e558ca23abf525aeca7277,503,RS,M,25,7,0.0,1,0,1
1917,242d733b4ef695e178ad883181b6382bd6a266fd,7cfd850f2a5bfeb89d42a09699555cc6f2383977,543,PR,M,48,1,100900.5,1,0,0
1918,b1247ffd26b711e75396f4cc7a5565bbe495e292,172fbec0dda21d47c7672a847cb902fa6f4216c3,428,PR,F,40,3,129248.11,2,1,0
1919,608dabcc83401b9467d839411e8dbff4691c7ed0,a06cf0591a25c70d03f0f88e56b5a630a6ceb454,768,SC,F,28,3,109118.05,2,0,1
1920,92e773baf2b5cc6e2b5e6bd9b6099b75502d5724,4e5c245ce3b5b63b055fd99838aec7735e5b432e,618,SC,M,56,7,0.0,1,1,1
1921,5ed1e31753e47a294572cb1c12b96434c826c8de,f7787148e65a348628bc3f4ed00abbb0ae73eddc,591,SC,F,31,7,0.0,2,0,1
1922,4087e668fbd85d51b29be8f5be1c2209d4ab6cc8,04cac712103eec250d334dc5da95e0dbb9654c5c,658,SC,F,35,5,126397.66,1,0,0
1923,b931004cdbfc5f2950621e65614f713e9547a42a,0afa6cf7b10d66880f4cf811c9950e6aa1aa26c8,625,SC,M,36,9,108546.16,3,1,0
1924,993299401a4b28266b6d63daf838fd3d9a35b917,5e4e35d2d7f3877c2cb80c5a31ed9b0c3bf485dd,717,SC,M,36,2,148061.89,1,1,0
1925,71d63c829644f460a5ba5891ed02aff1767d86b3,7b1a2e1fc5d33e7a84b2a9370e192f7739e88bea,667,SC,M,44,8,122277.87,1,1,1
1926,2eadd3da3fdc2a78ce93fcce776d2eb13243cf99,983d3e9d2e8f9251175369cc4b4bdff01ffe9545,804,SC,M,24,3,0.0,2,1,0
1927,17ca0a776f31ebf438bd24fa5e7f47df1c8bf044,be1e1f9dc5cb9429d6196412c75c8c162bc551b7,693,SC,M,31,1,0.0,2,0,1
1928,2af010819cbe5c37b75e30df4564efc5a2895423,3a47350b7d7cb691a01ccff5ad5d3aca87290c28,729,PR,M,36,8,152899.24,2,1,0
1929,d031f9886cb06cf2482e9dc1c75855eb8153b481,b6a02f79569b963b8d6d631047f51c9726ad0ed4,484,PR,M,54,3,134388.11,1,0,0
1930,5ed9dc95758c70c7650739af03630a3abb477e10,db7535ca702587e0183b5b77e8a7bb3edfea919c,632,RS,F,40,3,109740.62,1,1,0
1931,ce2ed1c2873f48416c250c03cde57f0604081d8a,bdb28b43065c524d0bd72115280bb799ceb1f930,536,PR,M,23,6,92366.72,2,1,0
1932,f99a85365fe41fb7770cee5fda53cc808318b369,d6762bec67ffeeadf39704bc0109c0a359bfcba0,573,SC,F,26,4,129109.02,1,0,0
1933,b12aba91ef2e5d525d818bbe7346d5261564d88e,db5fdf27f2b9deed69eb9f2ff6574c988bf01fa5,655,RS,F,56,5,0.0,2,1,1
1934,a3a808f0ac884bc7bdf9c1e5b5f4b61be8b7797b,20c41a63d7247c387731f0397a712cc6520d0161,666,PR,M,74,7,105102.5,1,1,1
1935,bebaec222c51004ef1506bdab7fd27e096eeedad,7947c090e2d9bf067e258dcf456d43773d0c86fd,726,PR,M,30,5,111375.32,2,1,0
1936,86da63d36631c8c98fc085ea3f9f077f34c3c9ca,b081f92d6ef9297b8fba6e2e700c757076b68d23,523,SC,M,39,3,0.0,2,1,0
1937,ac23f18ed51151c0c32e95a50000b8ff9da966b0,744943d2425bc781ac16d114c59c536877108250,728,PR,F,33,9,150412.14,2,1,0
1938,d843f314997d4567b7cb5ffdaf3802b873b32190,982cf151f1dd9e2c42ef9a98614fc4c0048e2124,701,SC,M,30,3,156660.72,2,1,0
1939,1e464cb0b7a83f7376cd9e285366611e44f8d760,f8878bc65e7cd508fd69b38237b5613e68263233,518,SC,M,38,3,90957.81,1,0,1
1940,b4d7de1a8ccb3bca8b196ad69e5a37e3e54ea979,a16f080ecc9aa4551521147d1a44aeb57e8b1a7a,739,SC,M,37,7,104960.46,1,0,1
1941,353f754811c29c312642d681f33082d6bafe0bf3,e0704a5c5231ffb32607235fe84bd3588d46c14c,531,PR,F,31,7,117052.82,1,1,0
1942,e0f359ee397c8761d619e58614e4210609b8e020,b3136e6bc395849c24b71e7832eeb65cdf13824c,452,RS,M,44,3,88915.85,1,1,0
1943,d97cfbd311b8a99e42688b47f8a2f7f75b6df133,364d37be779d91ec493d8996cada19b162c71c5a,684,SC,M,45,6,148071.39,1,1,0
1944,2b7d39976a0ea5bd0b862b7f8be428c8dd67dae5,e6cc309b4902b6ea60b19081b667f0271f528ea8,728,PR,M,39,6,152182.83,1,0,0
1945,28c09f82ba18610b48873716af30fbdd259ce55e,af06467ee291f73171c81a7b7d5bd34259f05274,783,RS,M,39,9,0.0,2,1,0
1946,68a598cce801be899922e273d0a437923e430add,8acb32f0262260576e41296879a79b743655b79a,734,SC,M,22,5,130056.23,1,0,0
1947,59d43216755182ab18d53f27709f902a9546398b,bf3d0bfcc2d78fd26f5a37e78aa8ea163a5205a6,648,PR,M,34,3,95039.73,2,1,1
1948,6b739cffef8bbc225f41aa6aabb38215433ca14f,d216099157c55203e37bd8e4f9d807400217433b,688,SC,M,52,1,0.0,2,1,1
1949,c01d190d0246c0b8eca49ed714ba7c71b69e1a78,2f00d0d684ba70047a92f49d2ad00d23283c85d5,680,RS,M,35,9,0.0,2,0,0
1950,3d50812cbb3394430480e4e9810715ce0ae5965d,4c40e39d20f8a5a0b102b4c345df5247b618c211,516,SC,F,43,2,112773.73,2,1,1
1951,e0767787ad9842d0696d0caa0777ddf41331cfe4,84db4a64b207897e80d6c73be925bad1ce648d51,680,SC,F,37,10,123806.28,1,1,0
1952,ca8f840c0a8a1cc9a2e9e11dc8917c5facf5ab21,df3e9e0b0dfaae61c91de36593d858b12f76315c,604,SC,M,53,8,144453.75,1,1,0
1953,3e2b19d328eb1b5fe0cfd0ea84a2d36004ffff0a,8ba7aae9d1fb36b9a9d3e202562ec72d55e9fb8b,624,PR,M,27,9,94667.29,2,0,1
1954,7705f6ec241b1fa0cc6a547028b723f5537b9191,9463bbf92f327b08be57ede042d32ad254f61251,623,SC,M,21,10,0.0,2,0,1
1955,9f2cc23f2539f5453b9916147f586484eaa30a35,ea8dc2674eed6185e56c675d8537ddb34eb63078,624,RS,M,51,5,174397.21,2,1,1
1956,7e51881594134485670a18c40cd11100c91920d0,3e47bce03cf7b20e1c0ddd3e9a965ec1ed830ada,565,PR,F,58,3,108888.24,3,0,1
1957,5daafa0d68cd60f890d14509e4008227ed6378ea,e9de29acab3900c21dd8b45f71010d2f5f4464b8,565,SC,M,55,4,118803.35,2,1,1
1958,0599b613c1bccca4d6293072ae97a336290c726f,5ef5bd6830159943e0283cc750efaf230171eabe,710,SC,M,54,6,171137.62,1,1,1
1959,7cc534ca4a615b1675154531cfafed6d5988f63a,4ba7ca1e7503e96edc2fb760ba9a10d83c39f76d,645,SC,M,42,6,0.0,1,0,0
1960,582d71adbeed4836b042f15fcd3281a8b85193a2,2b550e31c54f928e1dbbd480217114c8c5c61d1e,707,SC,M,33,8,136678.52,1,1,0
1961,91a0ad92a24cd3f1370d49f8fb5b1318688260f2,38780b430a52ceef086fcb21119fbd92ced065d9,655,RS,F,36,1,135515.76,1,1,0
1962,ca77455532d4644f2edf8c6a65d1b7fd0fbeb70e,8e72f5dd9c421a2037bf630ab9695d79be18c61f,705,RS,F,24,5,177799.83,2,0,0
1963,9845bcad8c344f77e1ec09fc881c350e64fb0387,da001e84709a2e742d996443816c01cc262fe528,358,RS,F,52,8,143542.36,3,1,0
1964,862d4d836b73e0c81c05e272e56ecc3218329eb5,dc02f33f8a4d4b4ae3eecab42622ee1727584f3f,578,PR,M,34,8,147487.23,2,1,0
1965,0f0a42677d81e7df205e6c14cf3a2e217edfcf6e,ef22146e55ee3fb2998216f0108d2e41df12e2f0,800,SC,F,40,5,97764.41,1,1,0
1966,3bf2bb42e81a271ee3c1d38e2dc6dc43c222343b,3c4f8ea4b8b21f5729363c836cc0ddfc21ea2641,612,SC,F,33,9,0.0,1,0,0
1967,9e1599d1467b6218a78fb1f0d68f838dc5d2c9b1,f27c894916bfec369fb11c5c2922b87dff4e0cdf,681,PR,F,48,8,139480.18,1,1,1
1968,69de6919aee3a4bdead0dbc2cef3054ddb710baf,245772891a555550d251d8523e12f8a2d4dea724,559,RS,M,25,5,0.0,2,1,1
1969,ed575c3c9c3b7a72ff3e8f0339976ac940d2ff25,f9628fff4fd6e22cb4a5b72ede8874d092380b1b,488,RS,F,39,9,140553.46,1,0,0
1970,66c9985a301c221b6173b07a206b87e8a900e710,b89d09fc7719cb3c4a87e4a61cb87b3465e9d8ff,717,SC,F,36,5,0.0,2,1,1
1971,5f9110eace65b9e374473bf696078200ed03b8b2,42b5cd50137357b4f4178ff8d40bacaddeb0835e,666,SC,F,41,10,141162.08,1,1,0
1972,a709e01874ff4977b2b8246859dbfb343d7a4c7e,9527ceba30069cc622618dc4869d04af692dcf4b,582,RS,M,26,4,65848.36,2,1,0
1973,a3990c4b61da679b9eb0c2589e6e327dc019d011,908901340c0f6ca141cf30471b935717c79ce7b4,733,RS,F,30,0,83319.28,1,0,0
1974,0a56c1cb1eab0362bb6fa26a550d1d492432b756,9cece7f8bb5c1307baf30bbe0dd31a087f7cb811,693,SC,M,41,4,0.0,2,0,0
1975,c51a196e22454ce7a2f106c4239146ebee2fa325,d9fbf6f612da64339c5dd589d057d5630b0b4bc1,694,SC,F,33,4,129731.64,2,1,0
1976,b002dd5a656b4010616bc77facd8bcdd74440b93,63813d568cbe42cc26e6c5128de0fd2b46cec8de,622,SC,F,35,5,0.0,2,1,0
1977,0dd33600b3c00a55fd063546c9217a304f12fefe,fa245c6daef807f3cdec2eea5213695c68aee7f9,598,RS,F,38,6,0.0,2,0,0
1978,d82c74544b8cdd2d40244acad04d23f9ef9ba455,9b616394a7d221a125aba2abf2a86be0466505d9,717,RS,M,35,1,0.0,3,0,0
1979,b83ea7ca1b00938ac67935ca218392e656ca059a,6a6058c8784a50cae544090ccd0413fd8cd7c977,494,PR,M,37,5,107106.33,2,1,0
1980,74b620e036267940a23f33d625ab3db767fc6100,9c776ff459921e8bf3c8c9b2da5278a72ea1424d,644,SC,M,33,8,0.0,2,1,1
1981,126d464714dfb8b4ac752b0627871f988b9b9310,adb6a529d598ada04c8247f4acc130ae9a457f42,554,SC,F,30,9,0.0,2,1,1
1982,4583cfd581bc3e3a34a85d1fcc272e024956f33c,2053a4d6d98c647c6bb1bbca9207606498793e22,476,RS,F,69,1,105303.73,1,0,1
1983,02009274c0b574753b090fd9879bbacc896a3673,1d1d5dba92996477c5ae6b905bf4c28ee1a9bc4f,667,SC,M,28,6,165798.1,1,1,0
1984,99e4ef3f7b0b9b520f2ec0be88115d2200c4188b,821c652424d903b2789c6dd74500af4fd2a2f604,748,RS,F,40,4,0.0,2,1,0
1985,5963796412dcd8ae17d827a075523c31632c2327,cff9da22fe297bcc2cb2a97d3e6b7045834a24d6,531,RS,F,45,1,126495.57,2,1,1
1986,4e37d7a4841d682545f145fca4bf47014d8f9c5f,e3eb2eea41a60b08392da20a49543d05ac484255,719,RS,F,47,9,116393.59,1,1,0
1987,1718012482d4abf2d6370b0810f8adf5e562e528,eef6ef9869ba818327c7d9505b56279d719e493a,845,PR,F,41,2,81733.74,2,0,0
1988,e9ce205d32511d8dd62d7755b34383c54cc06c7f,635bb15901ab861d1fa5958d28829d7959791c2d,738,SC,M,54,4,0.0,1,0,1
1989,78c580800af2c469698b6aa76a12c10cb7a0df16,001dd3afac7bd3f195d305a6d77d5a9e87031a2e,563,RS,F,46,8,106171.68,1,1,0
1990,8a7e0875a973a918bef444e149ec98975aff32a2,433f39ddec8d5df46612321d3c5907d2bd8ab106,695,RS,M,28,0,96020.86,1,1,1
1991,d1ad55f54f063d6dc2694b9ab45510a551cc1ff6,6d79dee13b95e7b9e1fb583150cf2c439046559e,841,RS,M,41,1,0.0,2,0,1
1992,7594fc6dfe1f414f6f056a72dcaa9030c8d09a15,b40b5f1d6619786aeb7dca891e67a63bd76e070f,626,PR,M,36,2,181671.16,2,1,1
1993,6227d4c8330e550212d9b2474a2ca84430ddff23,212d9f5936e9e21e34acdb99a636bb9ec4048f9b,613,SC,F,29,6,185709.28,2,1,1
1994,591743e430b12f4844332ab83db62693b51eb3fb,cfa9a401b0f24ca628c5837e80bf0a65a79db592,824,PR,M,60,8,134250.17,3,0,0
1995,8d1dfc8ab6b16183a06321792623451d6dbdaa0e,9fd7abdbb7d59c7917328f1f59c28ac6ab8f0c41,705,SC,F,49,7,0.0,1,1,0
1996,920582e2732115a802c0b65851da4bee12188f58,cbf8896adc968f2600ce228323e75367a1f03fae,584,SC,F,44,5,95671.75,2,1,1
1997,38a84a75cf994f89b302c1717b54fc69d12ab56b,22992aaf4eb7b5705da7dd137fdad524686b5188,534,SC,M,62,2,0.0,2,0,0
1998,5f022341774ff03250396eb94b4f54289d4d47a1,564852158ac9172b7515606b9b90ca153b62d0b0,672,SC,F,34,1,142151.75,2,1,1
1999,9cf701354a8a3e7445fef6fb1a8bf4945f3b0468,9d8ba33616f130088a375f056b885773e2835052,603,SC,M,43,5,127823.93,1,1,1
2000,be090a7445a64506fef72c94de84e2b21aaaa47c,223e44c8b4486cd94f05254d3545188a4c3bbd7c,633,PR,M,43,3,144164.29,1,1,1
2001,ef582ea5d0cd935931da5bd8dd4bf4955fbd399d,f8878bc65e7cd508fd69b38237b5613e68263233,842,SC,M,58,1,63492.94,1,1,1
2002,21c92490825cc0ea8a1a22c08ab85817cf5573cb,bfa28522fcb326dbf75b025d960ae17ad0249f06,661,SC,F,27,3,0.0,2,1,1
2003,693272bf0a74f898e90dda69bc00ea10148c6643,7a2d7a856197116c7ed3e98d9582d323a7c7492e,601,SC,M,74,2,0.0,2,0,1
2004,4329e2bc54d32593bcd12c5db07b76b2a04e2187,6a6058c8784a50cae544090ccd0413fd8cd7c977,632,SC,M,41,0,106134.46,1,0,1
2005,6f189f3e7b10842f515ceec45e8f5478339d20c8,4a89d14df74e438b076387d2e49873f0583b356d,684,PR,M,29,8,127269.75,1,0,1
2006,7c44f8299daa9c31550e48f58dceff1b18c01319,dd322f2dc7c008b758c4c05f6386406b30584bac,785,PR,F,32,3,124493.03,2,0,1
2007,e8f0ad3bb8f3ba3419a42baaff7749e8b67de513,524c9c608a8cb8faefc80d1fa7f7c5936028dbbe,687,SC,M,39,7,0.0,2,1,0
2008,0b89c973802987e69bcc619e7e6e68e8289a286b,9aea9c92e554257b30c3390add4ab02d49ad1f36,705,PR,F,43,10,146547.78,1,0,1
2009,8a46191119e6af1b70dd4078740599cfd984c315,e7ce1491e6c755f84c67a6c3e66028bd98a6a6a9,639,SC,M,43,6,99610.92,2,1,0
2010,04d27c5a26bf67bf5147edf85f075101accf62c1,842c642b00cf1f9168c0bc5932fc7dd30dd2d756,729,PR,M,46,5,117837.43,1,1,0
2011,f582e5dae939aa5877572ab5ccf7003211f6a9f6,e6ac3293c2375d4e6fc2b5a2abad567d506f1f97,556,RS,F,48,8,168522.37,1,1,1
2012,0faad05160343323690d905bc9ea66a932c5ef70,51c3800bb697c4da7d51b10eeca39cc2d5d2c870,570,SC,M,32,9,117337.54,2,0,1
2013,8f50d864475d829c003add727fc435e7c6ec5f73,8fb8a338aaf198bad1600846704ded639fb5c87a,841,SC,M,74,9,108131.53,1,0,1
2014,4f1168b5dfaf0976cbf608fd97e17f5381bf0bea,38780b430a52ceef086fcb21119fbd92ced065d9,705,PR,M,35,4,136496.12,2,1,0
2015,fdd6449699dc4319b0283152080296f12c0ffdf0,0e1385fe0e84c1c1c94b8a267a72d8557055faa6,553,SC,M,32,3,116324.53,1,1,0
2016,52ec39d0c7bfd955ccdbb3c326486d60b83418c8,e086fb72d50e44deef92e7f1f5e8ff1a1c896950,779,PR,F,40,2,75470.23,1,1,1
2017,30eb459993d76322daf5bcb161394031ec2acea2,f6a044e400e11753fab384256640c161ce06e03d,696,SC,M,28,4,172646.82,1,1,1
2018,4f5a6e1440041ff1785186acac7590fec769ca30,c84241778d258736ca03674db4a7f9f42209aae0,728,RS,F,37,4,0.0,1,0,0
2019,01a635df104cf31998df5e81b4f077fd6653dfe5,0e21b200d4510338e7a9f9c7555b324bf596e7a2,691,PR,M,27,3,160358.68,2,1,0
2020,1404be09436ddbb715abdcf2cdd09da584af9505,e0704a5c5231ffb32607235fe84bd3588d46c14c,706,SC,M,30,3,98415.37,1,1,1
2021,e2f92f1db1ae8293455775da601d83f3b8f3bb6c,4e168a993c2a9a160b1273e3ff68301bc9640862,627,PR,F,30,6,57809.32,1,1,0
2022,1b4035812df8847610c8bd719403f599f74a94b0,f1af1e5014d0a7c9e4a0685f1fe7acc22181e765,716,PR,F,18,3,128743.8,1,0,0
2023,7ed26d128fb7042fccc42878ae54ff8c455776c2,963e3324082bfbce9e823f838c271a28cf70cfa1,501,PR,M,24,4,130806.42,2,1,0
2024,d76fdecac7a21a74a2ccc76554225f04b927614a,8d638d6349ac8aaf551c78bfc7e5e0f5626e9b1b,601,SC,M,41,1,123971.16,1,0,1
2025,6be60b3bebab0644aa2014dc67e5e68a0d3c6d92,32b762f7cd78f9ad5e77f2e1b206245665e39711,545,RS,F,39,6,0.0,1,0,0
